,price_reduced_amount,Year Built,Sold Price,Lot SqFt,Baths,Beds,Garage,Type,Tags Count,list_season,sold_season,Region
393,5000.0,1972.0,69.0,4617.0,2.0,4.0,1.95156591405681,single_family,5,Fall,Winter,Midwest
394,0.0,1924.0,79.9,5053.0,1.0,1.0,1.95156591405681,single_family,4,Fall,Winter,Midwest
395,0.0,1954.0,125.0,13504.0,2.0,3.0,1.95156591405681,single_family,15,Fall,Winter,Midwest
397,4000.0,2004.0,330.0,17424.0,3.0,5.0,1.95156591405681,single_family,11,Fall,Winter,Midwest
398,0.0,1998.0,480.0,17860.0,5.0,5.0,1.95156591405681,single_family,13,Fall,Winter,Midwest
399,0.0,1967.0,185.0,8538.0,2.0,3.0,1.95156591405681,single_family,5,Fall,Winter,Midwest
400,0.0,1942.0,135.0,4922.0,1.0,2.0,1.95156591405681,single_family,8,Fall,Winter,Midwest
401,5000.0,1923.0,138.0,4617.0,2.0,3.0,1.95156591405681,single_family,11,Fall,Winter,Midwest
402,0.0,1956.0,75.0,9148.0,1.0,3.0,1.95156591405681,single_family,7,Winter,Winter,Midwest
403,0.0,1947.0,100.0,10454.0,2.0,3.0,1.95156591405681,single_family,6,Fall,Winter,Midwest
405,10000.0,1952.0,145.0,7405.0,1.0,3.0,1.95156591405681,single_family,8,Fall,Winter,Midwest
406,0.0,1952.0,245.0,12632.0,2.0,3.0,1.95156591405681,single_family,10,Fall,Winter,Midwest
408,0.0,1960.0,225.0,9017.0,2.0,3.0,1.95156591405681,single_family,8,Fall,Winter,Midwest
409,0.0,1969.0,237.05,13504.0,3.0,4.0,1.95156591405681,single_family,8,Fall,Winter,Midwest
410,0.0,1961.0,155.0,11761.0,1.0,3.0,1.95156591405681,single_family,13,Fall,Winter,Midwest
411,0.0,1977.0,167.0,7405.0,3.0,3.0,1.95156591405681,single_family,10,Fall,Winter,Midwest
412,0.0,1920.0,169.4,4792.0,2.0,3.0,1.95156591405681,single_family,9,Fall,Winter,Midwest
413,0.0,1972.0,95.0,21847.145165012695,2.0,2.0,1.95156591405681,single_family,4,Winter,Winter,Midwest
414,0.0,1929.0,110.0,4966.0,1.0,2.0,1.95156591405681,single_family,13,Winter,Winter,Midwest
415,0.0,1954.0,161.0,7841.0,2.0,3.0,1.95156591405681,single_family,4,Winter,Winter,South
416,10500.0,2019.0,359.5,16988.0,2.0,4.0,2.0,single_family,13,Fall,Winter,South
417,0.0,1998.0,205.0,10890.0,2.0,3.0,1.95156591405681,single_family,5,Fall,Winter,South
418,4900.0,1957.0,162.0,11761.0,2.0,3.0,1.95156591405681,single_family,4,Summer,Winter,South
420,0.0,1979.0,225.0,10019.0,3.0,3.0,2.0,single_family,13,Fall,Winter,South
421,10000.0,1955.0,115.0,6970.0,1.0,2.0,1.95156591405681,single_family,6,Fall,Winter,South
422,0.0,1940.0,63.0,11761.0,2.0,4.0,3.0,single_family,3,Fall,Winter,South
423,4000.0,1954.0,135.0,8712.0,1.0,3.0,1.95156591405681,single_family,4,Fall,Winter,South
424,0.0,2007.0,150.0,9583.0,2.0,3.0,2.0,single_family,9,Winter,Winter,South
425,0.0,1939.0,530.0,7841.0,2.0,4.0,1.95156591405681,single_family,5,Fall,Winter,South
427,0.0,1966.0,159.9,11326.0,2.0,3.0,1.95156591405681,single_family,9,Fall,Winter,South
429,0.0,1981.0,259.9,11326.0,2.0,3.0,2.0,single_family,9,Winter,Winter,South
430,29100.0,1927.0,570.0,5227.0,3.0,4.0,1.95156591405681,single_family,9,Fall,Winter,South
431,5000.0,1982.0,417.0,17860.0,3.0,4.0,2.0,single_family,16,Fall,Winter,South
432,19250.0,2000.0,396.5,8712.0,3.0,4.0,2.0,single_family,16,Fall,Winter,South
433,0.0,1977.0,150.0,21847.145165012695,3.0,4.0,2.0,single_family,18,Fall,Winter,South
434,0.0,1969.0,9.0,9148.0,2.0,4.0,2.0,single_family,4,Winter,Winter,South
435,0.0,1970.0,255.0,16117.0,2.0,3.0,2.0,single_family,6,Winter,Winter,South
436,0.0,1950.0,63.5,6970.0,1.0,2.0,1.95156591405681,single_family,2,Winter,Winter,South
438,10100.0,2006.0,455.0,9148.0,2.0,3.0,2.0,single_family,12,Fall,Winter,South
439,10000.0,2003.0,222.0,8276.0,2.0,3.0,1.95156591405681,single_family,10,Fall,Winter,South
440,0.0,1922.0,379.0,6098.0,2.0,3.0,1.95156591405681,single_family,8,Winter,Winter,South
441,0.0,1976.0,190.0,21847.145165012695,3.0,3.0,2.0,single_family,12,Winter,Winter,South
442,0.0,1970.0,48.5,6534.0,1.0,2.0,1.95156591405681,single_family,4,Fall,Winter,South
443,0.0,1961.0,175.0,9583.0,2.0,3.0,1.0,single_family,8,Fall,Winter,South
445,10000.0,1969.0,103.0,10454.0,2.0,3.0,1.95156591405681,single_family,3,Fall,Winter,South
446,0.0,1992.0,236.5,8712.0,2.0,3.0,2.0,single_family,9,Fall,Winter,South
447,0.0,1969.0,225.0,8712.0,2.0,4.0,1.95156591405681,single_family,7,Fall,Winter,South
448,0.0,1981.0,100.0,2502.1740088105726,2.0,2.0,1.4848484848484849,townhomes,8,Winter,Winter,South
449,40000.0,1930.0,325.0,8276.0,2.960835509138381,5.568232662192393,2.567741935483871,multi_family,3,Fall,Winter,South
450,8000.0,1978.0,258.0,14375.0,2.0,4.0,1.95156591405681,single_family,3,Fall,Winter,South
451,10000.0,1920.0,39.9,6970.0,1.0,3.0,1.95156591405681,single_family,5,Fall,Winter,South
452,0.0,1964.0,75.0,6534.0,2.0,3.0,1.95156591405681,single_family,8,Winter,Winter,South
454,0.0,2006.0,388.0,10019.0,3.0,4.0,2.0,single_family,18,Fall,Winter,South
456,0.0,1943.0,305.0,7405.0,2.0,3.0,1.95156591405681,single_family,7,Winter,Winter,South
